BOARDING_KATANA,Boarding hat begonnen...
TEXT_UNIT_FLUFF_GW_PA_AAC,TRANSLATE:Pentastar Troopers liberally equipped with grenades can be paired with AT PTs in order to form teams adept at seeking down and crushing any infantry. The blaster cannons on the AT PT and carbines of the Army Troopers force enemy infantry into cover. After which both can freely use their grenades to destroy the pinned infantry at will. 
TEXT_UNIT_FLUFF_GW_PA_AAD,TRANSLATE:Army Guards which have been tasked with defending the bases of the Pentastar Army can also be deployed into the field to protect important locations such as command posts or trauma stations. In the latter the Army Guard can also send squads forward with medical teams to keep the medics safe as they work to stabilise and treat any casualties. 
TEXT_UNIT_FLUFF_GW_PA_AAE,TRANSLATE:A Light Walker platoon for the Pentastar army is composed of two elements. The heavy Squad in the platoon is composed of AT-DPs which is a larger walker which is suited for engagements against vehicles and fortifications with its blaster cannon. The second element is the light squad which is composed of the smaller AT PTs which is aptly suited towards crushing any enemy infantry. Thus in tandem these two specialised walkers can be used in a capable generalist formation capable of engaging any threat on the battlefield within the same size range. 
TEXT_UNIT_FLUFF_GW_PA_AAF,TRANSLATE:Intelligence Security Operator teams are the main combat infantry for Imperial  Intelligence. At times these troops are deployed to regular battlefields for specific missions. If their target is heavily protected then INTSEC Operators are not above requisitioning the soldiers away from base defence along with heavy weaponry in order to provide extra firepower, and of course a handy meat shield for the Operators. 
TEXT_UNIT_FLUFF_GW_PA_AAG,TRANSLATE:A pair of TIE Maulers form an extremely rapid and dangerous strike formation which is lethal to any infantry, and at times civilians, who are in their way as they are shredded by rapid firing blaster cannon or crushed under the Mauler’s treads. When there is a chance of the strike team encountering a vehicular threat then AT-DPs can be tasked to follow on in their wake. This provides the Maulers a safe point where they can retreat and thus lure the hostile vehicle into the AT-DPs guns. 
TEXT_UNIT_FLUFF_GW_PA_AAH,TRANSLATE:Being mostly positioned in the Northern Galactic Rim, the Pentastar Alignment had retained a far greater percentage of Clone War surplus than other areas of the Empire due to being lower priority for new equipment. Thus instead of the more common AT-AA, The Pentastar is forced to use the Clone Wars era UT-AA despite its shortcomings. Being exposed to any form of ground attack infantry with heavy weapons are nearly always stationed as pickets around the vehicle to keep it well protected on the battlefield. 
TEXT_UNIT_FLUFF_GW_PA_AAI,TRANSLATE:the ageing Gaba 18 was pressed into service during the Clone War primarily in a reconnaissance role and still saw occasional use in military roles during the Galactic Civil War. More commonly they were relegated to garrison and security roles where their weak weapons would not be a hindrance while their high mobility would allow a garrison to patrol a large area in addition to allowing them to rapidly react to calls for aid from the garrison infantry if they ever encountered problems. 
TEXT_UNIT_FLUFF_GW_PA_AAJ,TRANSLATE:Similar to the Light Walker Platoon, a Pentastar Tracked Platoon is composed of a heavy Squad which utilises TIE Crawlers and Light Squads which use the TIE Maulers. The turbolaser of the TIE Crawlers are lethal against any vehicle encountered by the platoon while the nimble TIE Maulers keep any infantry away from the sluggish TIE Century tank. 
TEXT_UNIT_FLUFF_GW_PA_AAK,TRANSLATE:The officers who comprise the Imperial Army Commandos are best used in missions making use of rapid movement and heavy firepower. Intelligence Security Sniper Teams might attach themselves to an Army Commando platoon when they go out on a raid to ensure important intel is recovered. These snipers can also provide deadly accurate fire to assist the Commandos in overrunning their target. 
TEXT_UNIT_FLUFF_GW_PA_AAL,TRANSLATE:Commission for the Preservation of the New Order provided some of the most fanatical supporters and believers of the Empire. When the Empire dissolved after Palpatine’s death, the Imperial warlords wasted no time co-opting elements of the organisation for their own benefits. The fanatical troops of Compforce made for excellent assault soldiers which could be augmented by the addition of the Guardian Protector squads of the Pentastar Alignment. These former COMPNOR soldiers make good assistance to their former comrades especially when they liberally use their flamethrowers to flush out enemies from their cover. 
TEXT_UNIT_FLUFF_GW_PA_AAM,TRANSLATE:The B5 Juggernaut lost the weaponry of the A5 but in its stead gained a much larger capacity for transporting soldiers. Pentastar Army Troopers make up the mass of the soldiers being transported but in important assaults more elite soldiers can augment the squads of the Army. Guardian Protectors can assist the assault teams in the close quarter battles while Army Commandos provide assistance with their better weapons . 
TEXT_UNIT_FLUFF_GW_PA_AAN,TRANSLATE:The Nemesis gunship was a favoured aircraft in the service of the wealthy planets in the Pentastar Alignment due to its heavy firepower although its cost and complexity limited the extent of its deployment. Often they would be deployed in a “heavy” squad as a pair alongside “light” squads composed of groups of the tiny Gaba 18 Speeders. These Gabas could provide targeting data for the nemesis, harass any anti-air, or finish off targets weakened by the fire from the Nemesis. 
TEXT_UNIT_FLUFF_GW_PA_AAO,TRANSLATE:The twin barrelled Heavy Artillery system commonly deployed by the Pentastar has greater than normal mobility and rate of fire than most of the other systems used by Imperial factions but that rate of fire has come at the cost of reducing the damage each shell is capable delivering. When battlefield conditions prevent the battery from rapid and constant relocation, squads of enforcers are commonly positioned as a protective screen for each vehicle to ensure their safety while also not tying down more capable troops in rear line duties. 
TEXT_UNIT_FLUFF_GW_PA_AAP,TRANSLATE:Heavy assault firepower is occasionally required to quickly break strong defensive positions and annihilate significant enemy forces. To that end, Pentastar military leaders designed a heavy unit complete with strong defensive siege platforms that could move around the battlefield at will, heavy artillery for saturation bombardment, and anti-air tanks to protect the vulnerable artillery from enemy airspeeders and gunships.
TEXT_UNIT_FLUFF_GW_PA_AAQ,TRANSLATE:The Pentastar Alignment secured the allegiance of Jerec’s Inquisitourious early on in its existence. This provided them access to dark jedi who, upon request, could be assigned to assist the army in their operations. These Dark Jedi would also likely be assigned Guardian Protectors as bodyguards due to their relatively high status in the alignment. 
TEXT_UNIT_FLUFF_GW_PA_AAR,TRANSLATE:When a world of the Pentastar Alignment gets attacked its heavily militarised security forces are quick to react to help contain the enemy until stronger forces can arrive. Enforcer squads rush towards the enemy in an attempt to drown them in bodies and carbine fire while the AT-DPs, normally kept in reserve for quelling mass disturbances, seek out and engage any vehicles the enemy brings for the invasion. Gaba speeders roam the sky to provide up to date intel back to the local area commanders and occasionally launch gun runs on infantry in the open. 
TEXT_UNIT_FLUFF_GW_ZSINJ_AAA,TRANSLATE:A standard platoon of Zsinj Army troopers composed of two synergistic elements. Some squads are equipped with repeater slugthrowers and rapid firing carbines to suppress any infantry while other squads take advantage of this base of fire to finish off the enemy with their grenade launchers. These platoons of Army Troopers are found across the breadth of Zsinj’s domain as garrison forces or serving as line soldiers for the army. 
TEXT_UNIT_FLUFF_GW_ZSINJ_AAB,TRANSLATE:A small detachment of Imperial Army troopers who are lightly armed with only a single light repeater per squad to bolster the firepower of their carbines and grenades. Despite lacking the numbers or firepower to do most tasks, a small detachment can still provide use by manning remote outposts and acting as an outer screen for larger forces. 
TEXT_UNIT_FLUFF_GW_ZSINJ_AAC,TRANSLATE:Every military force is only as good as its reconnaissance, and Zsinj’s forces are among the best in the galaxy at information gathering. Raptor troops on the standard 74-Z bikes could rush ahead and secure ground and the nearly as quick PX-10s could follow as reinforcements or make small sorties of their own to locate and strike at enemy forces.
TEXT_UNIT_FLUFF_GW_ZSINJ_AAD,TRANSLATE:A task force drawn from several different troop formations which were all renown for their extreme loyalty towards the New Order of the Empire. Now under the control of the Warlord Zsinj these infantry forces are tasked with ensuring that all the worlds under the Warlord remain extremely loyal to his dominion. Any rebellious thought or act against him is met with brutal crushing force with plenty of collateral damage. 
TEXT_UNIT_FLUFF_GW_ZSINJ_AAE,TRANSLATE:Army Guards which have been tasked with defending the bases of the Zsinj’s Army can also be deployed into the field to protect important locations such as command posts or trauma stations. In the latter the Army Guard can also send squads forward with medical teams to keep the medics safe as they work to stabilise and treat any casualties. 
TEXT_UNIT_FLUFF_GW_ZSINJ_AAF,TRANSLATE:The Repulsor scout was extensively used by the Imperial army in difficult or hazardous terrain for reconnaissance. Their high mobility allowed them to cover a lot of ground but it was lightly armed and only suitable for engaging small groups of infantry. A single Chariot LAV acts as a command element for the two squads of Repulsor Scouts. Its weapon also provides the platoon with some capability at engaging other vehicles. 
TEXT_UNIT_FLUFF_GW_ZSINJ_AAG,TRANSLATE:The Compact Assault Vehicle/Wheeled 10 was a light one man tracked vehicle which was used in large swarms to engage infantry or primitive vehicles. While highly adept at engaging those targets, it struggled against any modern vehicle remotely capable of warfare. Hence it was common practice to have two squads of PX-10s form a light element of the platoon and then ULAVs could provide a heavy element in relative terms. The ULAV was still a fragile vehicle but it had the mobility to keep up with the PX-10s and it possessed far more firepower including good anti vehicle capabilities.  
TEXT_UNIT_FLUFF_GW_ZSINJ_AAH,TRANSLATE:Units with unwavering loyalty to Warlord Zsinj often patrolled near the frontlines assuring that the rest of the military force was competently and efficiently executing their tasks. These units always contained COMPFORCE Observation units directed by a loyal officer in a Chariot LAV appointed by either Zsinj himself or his right hand man, General Melvar. As the units are near the frontlines they could be called on to assist in defensive or offensive operations and were also outfitted with rapid response PX-10 units.These vehicles also gave the formation the ability to persuade any hesitant imperial forces that it was in their best interests to follow their orders and go into battle. 
TEXT_UNIT_FLUFF_GW_ZSINJ_AAI,TRANSLATE:Choosing to sideline the old white stormtrooper armour for improved protection and projecting a new image of power and legitimacy, Zsinj’s highly trained troopers, designated Raptor Stormtroopers, struck fear into Zsinj’s enemies wherever they appeared. Raptor medic squads provide support and keep the combat troops in the fight even longer.
TEXT_UNIT_FLUFF_GW_ZSINJ_AAJ,TRANSLATE:The AT-AA was the mainline anti air vehicle of the Imperial army and was highly reliable although like all specialised support vehicles it was exposed to any ground based attack. A pair of PX-10s acted as a far ranging patrol to prevent any enemy getting into range of launching an offensive on the AT-AA. A chariot would often be attached to the battery to provide a safe command and control vehicle or to assist the PX-10s against any vehicle based incursion they detect. 
TEXT_UNIT_FLUFF_GW_ZSINJ_AAK,TRANSLATE:The bulk of Zsinj’s military force for most operations consisted of well trained army troopers in both assault roles and defensive roles. APCs were provided to rapidly deploy the units to any contested zone to assault enemy forces and hold the line against any counterattacks.
TEXT_UNIT_FLUFF_GW_ZSINJ_AAL,TRANSLATE:For more sensitive or dangerous operations and engagements, Zsinj deployed his best troops. The fanatical EVO troopers excelled at clearing away any soft targets while the elite and highly trained Raptors took on the anti-armour role. The elite infantry units were provided strong aerial support from IDT gunships for rapid redeployment, fire support, or rapid disengagement if the objective had been completed.
TEXT_UNIT_FLUFF_GW_ZSINJ_AAM,TRANSLATE:The SPMA-T was a direct fire variant of the SPMA series. This meant it lacked the indirect abilities and range of other Imperial artillery systems but provided the troops on the front line extreme firepower on demand against any hardened target. Squads of Army Guard keep a secure perimeter around the vehicle. Meanwhile, a nearby Chariot LAV ensures a direct connection with the command elements of nearby forces and filters their communications to ensure rapid and accurate target acquisition. 
TEXT_UNIT_FLUFF_GW_ZSINJ_AAN,TRANSLATE:For long range engagements against both soft targets and enemy tanks, the Imperial Intelligence Security Sniper Teams act as spotters for the AT-AP units accompanying them. The AT-AP can blast apart enemy tanks spotted by the snipers, while the snipers keep enemy infantry suppressed and unable to get close to the vulnerable artillery piece.
TEXT_UNIT_FLUFF_GW_ZSINJ_AAO,TRANSLATE:Intelligence Security Operator teams are the assault formations operating under the purview of Imperial Intelligence. Their disruptor rifles provide them with increased firepower while also minimising any trace of their passing. Often they could be tasked with missions behind enemy lines or find themselves in need of rapid relocation. Thus they would often operate with imperial dropships such as the IDT which could rapidly transport the operator teams to their landing zones as well as safely extract them if they needed a hot extraction or hot landing. 
TEXT_UNIT_FLUFF_GW_ZSINJ_AAP,TRANSLATE:For planetary invasions, Zsinj deploys significant infantry forces, with transports as support to get the infantry to deployment zones as rapidly and efficiently as possible. This mobile force could easily storm any beach or assault and overwhelm any stronghold, securing new territory for Warlord Zsinj’s burgeoning empire.
TEXT_UNIT_FLUFF_HAPES_AAA,Das isolationistische Hapes-Konsortium setzt proaktiv Maßnahmen um, um ihre Isolation zu gewährleisten, indem sie aktiv die Ränder ihres Territoriums patrouillieren und mit Fighter-Sweeps jeden Eindringling in ihren Cluster aufspüren und abfangen. Billigere Versionen ihrer Hauptkampfflieger werden genutzt, um die Anzahl der benötigten Flieger für diese Aufgabe zu füllen, während eine kleine Gruppe von Bombern in Kontakt mit den Patrouillenjägern bleibt, um als Verstärkung zu dienen, falls Feuerkraft über Fighter-Grade-Waffen erforderlich ist.
TEXT_UNIT_FLUFF_HAPES_AAB,Obwohl die Hapaner die lokalen Piraten als zusätzlichen Schutz rekrutiert haben, benötigten diese Männer gelegentlich eine Erinnerung daran, wer tatsächlich nicht Ziel von Überfällen sein sollte. Diese Streitkräfte waren normalerweise ausreichend, um die unabhängigen Piraten zurückzuhalten und eine geordnetere Reaktion zu ermöglichen, falls notwendig.
TEXT_UNIT_FLUFF_HAPES_AAC,Diese Schiffe werden oft im Raum des Hapan-Konsortiums in Bewegung gehalten, um Außenseiter fernzuhalten. Ihre Geschwindigkeit ermöglicht es ihnen, schnell auf Berichte der Patrouillenjäger über feindliche Kontakte zu reagieren und sich zu den Jägern zu bewegen, um entweder den Eindringling zu vernichten oder ihn zumindest lange genug festzusetzen, damit langsamere Kräfte auf den Plan treten können.
TEXT_UNIT_FLUFF_HAPES_AAD,Der Nova-Kreuzer-Umbau ermöglichte es der Hapan-Flotte, die Anzahl der benötigten Schiffe in jeder Nova-Kreuzer-Formation aufgrund der gesteigerten Fähigkeiten zu reduzieren. Es wird jedoch immer noch von mehreren kleineren Schiffen begleitet, die es abschirmen oder ihre Feuerkraft auf ein Ziel konzentrieren können. Wenn nötig, werden mehrere Nova-Kreuzer-Umbauten mit ihren Begleitschiffen zu einer größeren Task Force zusammengeführt, wenn ein bedrohliches feindliches Schiff erkannt wird, um den Feind in Turbolaser-Feuer zu ertränken.
TEXT_UNIT_FLUFF_HAPES_AAE,Nova-Kreuzer wurden oft als leichte Träger eingesetzt, um eine frühe Präsenz von Jägern im Schlachtraum zu sichern, die sich selbst vor den meisten Bedrohungen schützen konnten. Flare-Korvetten schließen die Lücke und helfen, das Schiff und die Jäger vor feindlichen Abfangjägern zu schützen.
TEXT_UNIT_FLUFF_HAPES_AAF,Hapaner Jägergeschwader führen oft die Angriffe in feindliche Gefechte an, räumen den Weg für ihre Fregatten oder Bomber frei, um ungehindert von feindlichen Abfangjägern zuzuschlagen. Im Notfall können sie auch am Rande einer Flottenformation umherfliegen und Schutz für beschädigte Schiffe bieten, um einen reibungslosen Abzug vor feindlichen Bombern zu gewährleisten. Adlige nehmen oft in ihren verbesserten Jägern die Führung, um persönliche Ehre im Kampf zu gewinnen.
TEXT_UNIT_FLUFF_HAPES_AAG,Der Nebelkreuzer ist ein spezieller Träger im Dienst der Hapanischen Königlichen Marine, obwohl er aufgrund seines Mangels an Bewaffnung für seine Größe nie populär bei ihnen war. Trotzdem ist es ein Design, das in der Lage ist, eine erhebliche Anzahl von Jägern und Bombern schnell zu jedem Kampf zu transportieren, während einige Baidam-Korvetten oft in Eskortrollen für die großen Träger gefunden wurden.
TEXT_UNIT_FLUFF_HAPES_AAH,Die Coronal ist ein großes logistisches Schiff, das von der Hapanischen Königlichen Marine eingesetzt wird, um ihre weit entfernten Patrouillen und Einsatzgruppen zu versorgen und auch bei Reparaturen nach dem Kampf zu helfen. Pulsare werden oft mit den Coronalen gefunden, wenn sie aggressiv eingesetzt werden, da die langreichweitigen schweren Ionenkanonen des Pulsars jedes Schiff außer Gefecht setzen können, das die logistischen Schiffe bedroht, bevor es nahe genug ist, um eine Bedrohung darzustellen. Allerdings kann der Mangel an Anti-Jäger-Schutz für einige Hapaner Kommandeure ein Anliegen sein.
TEXT_UNIT_FLUFF_HAPES_AAI,Aufgrund einiger Beschränkungen, mit denen die Hapaner in Bezug auf die Turbolaser-Technologie zu kämpfen hatten, dienten physische Munition als adäquater Ersatz in einer Vielzahl von Situationen. Der Magnetar konnte aus der Entfernung hochexplosive Raketen abfeuern, während er durch den Charubah geschützt wurde, wenn etwas zu nah kam.
TEXT_UNIT_FLUFF_HAPES_AAJ,Die Neutron war ein seltenes Schiff in der Hapan-Flotte, da es einen massiven Wandel in der Doktrin darstellte, der nicht weit verbreitet akzeptiert wurde. Trotz der kulturellen Ablehnung der Doktrin, die die Neutron repräsentierte, wurde das Schiff akzeptiert, da es einen Wert als Zentrum von Formationen hatte, in denen seine stabilkeit der hapanischen Flotte einen seltenen Brawler bot, der einigen der größeren Schiffe anderer galaktischer Fraktionen standhalten konnte. Während der Feind in einem Schlagabtausch mit der Neutron abgelenkt ist, können eskortierende kleinere Schiffe sich leicht in Position bringen, um unterstützenden Feuer zu leisten und sicherzustellen, dass die Neutron ihren Kampf gewinnt.
TEXT_UNIT_FLUFF_HAPES_AAK,Der Grundpfeiler der Hapan Royal Navy, der Battledragon, wurde während der Transitorischen Nebel häufig eingesetzt. Einzigartig in der Art des Schusses, konnte der schnelle Strom von Turbolaser- und Ionenenergie selbst bedeutenden feindlichen Widerstand in wenigen Minuten durchschmelzen.
TEXT_UNIT_FLUFF_HAPES_AAL,Eine konventionellere Flottenzusammensetzung, die in ernsten Situationen eingesetzt wurde, wurde durch die Feuerkraft des Großkampfschiffschiffs Terephon in Kombination mit der mittelgroßen Fregatte Charubah und unterstützt durch die leichtere Olanji entscheidend für viele Schlachten der Hapan Royal Navy.
TEXT_UNIT_FLUFF_HAPES_AAM,Star Home ist zwar beeindruckend groß, aber kein Kriegsschiff. Wenn das Schiff jedoch auf dem Feld war, um taktische und logistische Unterstützung zu leisten, benötigte der fliegende Palast schwere Unterstützung von den besten Schiffen der Hapan Royal Navy, dem Battledragon und dem Terephon. Als Ehrenhaft, wenn auch langweilig, galt die Auswahl zur Bewachung des Star Home.
TEXT_UNIT_FLUFF_IR_AAA,Die imperialen Streitkräfte hinterließen auf jeder ihrer Basen und Planeten Jagdstaffeln. Der TIE Fighter würde die Masse der imperialen Garnisonen ausmachen, während die neueren TIE-Abfangjäger Jagdgruppen verstärkten, wenn eine Bedrohung erwartet wurde. TIE-Bomber würden jede Bodenbedrohung unterdrücken oder jedes Großkampfschiffschiff angreifen, das sich dem Gebiet näherte.
TEXT_UNIT_FLUFF_IR_AAB,Imperialen Basen und Konvois wurden häufig von Jägern der Neuen Republik angegriffen, was sie zwang, stark in den Schutz gegen Jäger zu investieren. Kleine Task Forces wie diese durchstreiften die Ränder imperialer Basen und Konvois und waren bereit, jeden solchen Jägerangriff abzufangen.
TEXT_UNIT_FLUFF_IR_AAC,Die Carracks bildeten das Rückgrat der Imperialen Leichtkreuzer-Flotte und waren daher gezwungen, eine Vielzahl von Aufgaben im imperialen Raum von kleinen Einzelaktionen bis hin zur Flottenunterstützung durchzuführen. Obwohl die Waffen, die auf das Chassis installiert werden konnten, sehr vielseitig waren, bevorzugte das Imperium, seine Carracks für den Kampf gegen große Kriegsschiffe mit Ionenkanonen und schweren Turbolaser auszurüsten. Da sie jedoch über keinen integrierten Schutz gegen Jäger verfügten, konnten sie eine Ergänzung aus der Klonkriege-Ära in ihr Design integrieren und TIE-Jäger auf externen Trägern transportieren. Diese Jäger konnten trotz ihrer geringen Reichweite und Ausdauer schnell als Reaktion auf Bedrohungen gestartet werden, allerdings nur mit Hilfe, da sie sonst nicht in der Lage wären, mit der Carrack auf ihren Missionen zu fliegen.
TEXT_UNIT_FLUFF_IR_AAD,Der Ton Falk war ein weit verbreiteter Träger, der verwendet werden konnte, um die Kurzstreckenjäger und Bomber des Imperiums in einem günstigen Weltraumrumpf in die Schlacht zu transportieren. Diese konnten entweder zur Ergänzung der Jägergruppe einer bereits vorhandenen Task Force oder zur Unterstützung einer Gruppe eingesetzt werden, die nicht genügend oder gar keine eigenen Jäger hatte, ohne wertvolle Imperial Star Destroyer zu binden. Kreuzer der Kreuzfahrer-Klasse flogen als Eskorte des relativ wehrlosen Trägers, um ihn vor feindlichen Jägerangriffen zu schützen.
TEXT_UNIT_FLUFF_IR_AAE,Das Vorgängermodell des TIE/LN-Jägers und der erste der TIE-Reihe, den das Imperium produzieren würde, wurde der TIE Sternenjäger allgemein als veraltet angesehen und offiziell ausgemustert oder verschrottet. Einige überlebten jedoch in abgelegenen oder extrem niedrig priorisierten Gebieten, insbesondere als der Tempo des Galaktischen Bürgerkriegs zunahm und der extreme Bedarf an Jägern dazu führte, dass nicht jeder Planet und Außenposten des Imperiums eine zuverlässige Versorgung mit neuen Ausrüstungen sicherstellen konnte, sondern gezwungen war, zu nutzen, was zur Verfügung stand.
TEXT_UNIT_FLUFF_IR_AAF,Obwohl der KDY Eidolon Strike Kreuzer in vielerlei Hinsicht eine Verbesserung des Originaldesigns von Loronar war, wurde er aufgrund der Vielseitigkeit und Modularität des ursprünglichen Designs durch das KDY-Upgrade nur in geringer Stückzahl produziert. Aufgrund seiner geringen Anzahl wurde der Eidolon in Nebenrollen wie als Flaggschiff für Beamte oder gelegentlich als Führungs- und Verstärkungsschiff für Gruppen von Loronar Strike Kreuzern eingesetzt.
TEXT_UNIT_FLUFF_IR_AAG,Die Sturmkommandos waren eine autonome unabhängige Kommandoeinheit, die sich nach dem Ende von Endor keinem einzelnen Kriegsherrn anschloss. Stattdessen blieben sie loyal zu ihrer ursprünglichen Mission, die Rebellion mit verdeckten Operationen zu jagen, wo immer sie konnten. Das Post-Palpatine-Imperium war oft daran interessiert, diese Gruppe zu unterstützen, um sie in das größere Rahmenwerk des Imperiums zu reintegrieren, und sandte ihnen daher Ausrüstung oder Verstärkung wie mehrere Staffeln, die mit TIE-Abwehrjägern flogen.
TEXT_UNIT_FLUFF_IR_AAH,Der Dreadnaught-Schwerer Kreuzer war ein Design, das vor den Klonkriegen allgegenwärtig in der Galaxie war und auch während des Galaktischen Bürgerkriegs in großen Stückzahlen im Dienst blieb. Sie konnten in planetaren Verteidigungsrollen, Flottendienst oder Langstreckenpatrouillen gefunden werden. Bei ausgedehnten Missionen konnten Gruppen von DHCs von größeren Angriffsfahrzeugen wie dem Skipray eskortiert werden, dessen Größe und Hyperraumantrieb ihm die Ausdauer verliehen, die vielen Imperialen Jägern fehlte.
TEXT_UNIT_FLUFF_IR_AAI,Eine autonome Gruppe, die bereit war, dem Imperium und anderen imperialen Abspaltungsgruppen zu helfen, wenn ihre Ziele übereinstimmten, erhielten die Sturmkommandos den tödlichen TIE-Jäger, der ein imperialisches Pendant zum berühmten X-Wing war, aber gegen große Schiffe leistungsfähiger war. Um sicherzustellen, dass sie ihre Nutzlast ins Ziel bringen können, konnten sie von anderen Jägern wie dem schnellen A9-Abfangjäger eskortiert werden, der in großen Stückzahlen vorhanden war, aber nicht so beliebt im imperialen Dienst wie die TIE-Linie war.
TEXT_UNIT_FLUFF_IR_AAJ,Als sie in den schwindenden Perioden der Klonkriege in den Dienst traten, wurde der Acclamator MK 2 konzipiert, um Massen von Turbolaser zu tragen, um die Schwärme von CIS-Fregatten und -Korvetten zu zerstören und dann CIS-Fabrikwelten zu beschießen, um sie zu Glas zu machen, wenn es nicht möglich oder sinnvoll war, Bodentruppen zu landen. In vielerlei Hinsicht blieb die Rolle dieses Schiffs im Galaktischen Bürgerkrieg genau dieselbe, abgesehen davon, dass sich sein Gegner von der CIS zur Rebellion/Neuen Republik verändert hatte. Gruppen dieser Acclamatoren waren ein gefürchteter Feind für jede Gruppe von Neuer-Republik-Korvetten oder -Fregatten.
TEXT_UNIT_FLUFF_IR_AAK,Obwohl Nicht-TIE-Linien-Flugzeuge während der gesamten Existenz des Imperiums im Einsatz waren, begannen sie erst in späteren Phasen des Imperialen Überrests an Bedeutung zu gewinnen. Jahrzehnte des Krieges hatten zu massiven Verlusten von Imperialen Jägerbeständen geführt und Verluste von Planeten und Schiffswerften reduzierten die Produktion auf den Punkt, dass es nicht mehr tragbar war, sich auf die TIE-Linie zu verlassen, und neue Flugzeugquellen gefunden werden mussten. Einmal übersehene und marginalisierte Jäger begannen in zunehmendem Maße im Imperialen Dienst eingesetzt zu werden, je länger der Krieg fortschritt.
TEXT_UNIT_FLUFF_IR_AAL,Der Vindicator wurde von Großmoff Tarkin entworfen, um den omnipräsenten Dreadnaught Heavy Kreuzer zu ersetzen. Der Vindicator würde sich schnell im imperialen Dienst ausbreiten und den DHC in vielen Bereichen der Galaxie vollständig ersetzen und sogar modifiziert werden, um andere Schiffsklassen zu produzieren. Trotz einer viel größeren Hangarkapazität als der DHC konnte zusätzliche Unterstützung für Flottillen von Vindicators bei Langstreckenmissionen mit begleitenden Skiprays gegeben werden, deren Ausdauer weit größer war als die meisten Jäger im Imperialen Dienst.
TEXT_UNIT_FLUFF_IR_AAM,Obwohl das Nebulon B ein ikonisches Schiff für die Rebellion und die Neue Republik war, war es ursprünglich ein Schiff, das für das Imperium entworfen wurde, und würde durch den Galaktischen Bürgerkrieg hindurch umfangreichen imperialen Dienst sehen, wobei viele verschiedene Nachrüstungen und Varianten auftauchten. Diese Variante des Nebulon B war eine direkte Reaktion auf die starke Abhängigkeit der Neuen Republik von Schilden zum Schutz ihrer Jäger und Schiffe. Die Nebulon B Patrol Refits, die zu Acclamator-MK2-Jagdgruppen gehören, bieten wichtige Unterstützung beim schnellen Absenken des Schildschutzes von NR-Kriegsschiffen, um das Spektrum der Turbolaser auf dem Acclamator zu nutzen, um das nun wehrlose Schiff zu vernichten. Die Nebulon bietet auch dringend benötigte Anti-Jäger-Screening für die Acclamations, die als Schwachstelle des Schiffes bemerkt wurden.
TEXT_UNIT_FLUFF_IR_AAN,Der hochmodulare MTC hatte nach seiner Einführung während der Dunklen Imperium-Ära viele Rollen im imperialen Dienst inne. Eine solche Rolle war die Wartung und Unterstützung von Imperialen Einheiten mit Nachschub und Reparaturen. Obwohl der MTC über inhärente Kampffähigkeiten und eine kleine Kämpferkomplementierung verfügte, waren sie jedem entschlossenen Angriff ausgesetzt und wurden daher besonders bei Einsätzen in Kampfgebieten als hohe Priorität für Eskorten betrachtet. Der weit verbreitete Vindicator wurde häufig für solche Eskortaufgaben eingesetzt, eine der vielen Aufgaben, für die er entwickelt wurde.
TEXT_UNIT_FLUFF_IR_AAO,Der Victory Star Destroyer MK 1 entstand während der Klonkriege, fiel jedoch aufgrund von Designfehlern wie einem schrecklichen Antriebssystem und schlechter Geschwindigkeit schnell aus der Gunst. Der VSD wurde während der Klonkriege in großer Zahl produziert und blieb daher trotz dieser mangelnden Beliebtheit ein gängiges Schiff im Imperium. Eine Rolle, die der VSD spielte, war die eines mobilen Raumgeschützes mit seiner großzügigen Versorgung mit Raketen und Abschussröhren. Mangelnde Geschwindigkeit plagte auch den Einsatz der Lancer-Fregatte und zwang sie oft zu Nicht-Flottendiensten, da sie nicht mithalten konnte. Es war jedoch eine tragfähige Wahl, um den VSD zu schützen, da seine mangelnde Geschwindigkeit kein Problem darstellte, was es seinen zahlreichen Laser-Emplacements ermöglichte, zu glänzen.
TEXT_UNIT_FLUFF_IR_AAP,Der Victory II behob viele der Mängel des Victory I und tauschte die Raketen gegen Ionenkanonen aus, was ihn in imperialen Diensten weitaus beliebter machte. Große Gruppen von VSD IIs waren fast überall im Imperium auf einer breiten Palette von Missionen gegen feindliche Schiffe und Rauminfrastruktur zu finden. Wenn eine große Schlacht erwartet wurde, konnten mehrere VSD IIs zu einer einzigen Formation zusammengefasst werden, um eine massive Batterie aus Turbolaser- und Ionenkanonenfeuer zu erzeugen, die für alle außer den größten Kriegsschiffen verheerend war. Procursator Star Destroyer konnten auch solchen Formationen angehängt werden, um den VSDs über die kleinen Hangar-Gruppen hinaus einige Anti-Jäger-Unterstützung zu bieten. Die leichteren Waffen des Procursator waren auch gegen Gruppen von Fregatten oder Korvetten von Vorteil, gegen die die schweren Waffen des VSD möglicherweise Schwierigkeiten hatten, sie zu verfolgen.
